specimen,code,group,family,genus,taxon,TL_m,BZW_mm,Age_100,category
Bal.acut_CAS23867,Ma2,mysticeti,balaenopteridae,Balaenoptera_s,common_minke_whale,8,735.369,120,4-adult
Bal.acut_HSU2670,Ma1,mysticeti,balaenopteridae,Balaenoptera_s,common_minke_whale,7,344.99,110,3-immature
Bal.acut_LACM72507,Mn2,mysticeti,balaenopteridae,Balaenoptera_s,common_minke_whale,3.08,307.934,100,2-late/new
Bal.acut_USNM593554,Mn1,mysticeti,balaenopteridae,Balaenoptera_s,common_minke_whale,3.51,397.478,100,2-late/new
Bal.acut_ZMCU1104,Mf2,mysticeti,balaenopteridae,Balaenoptera_s,common_minke_whale,1.25,173.62,72.08311397,2-late/new
Bal.acut_ZMCU1106,Mf1,mysticeti,balaenopteridae,Balaenoptera_s,common_minke_whale,0.48,78.87,47.05967078,1-early
Bal.bona_1874.4.13.2,An1,mysticeti,balaenopteridae,Balaenoptera_s,Antarctic_minke_whale,4.7,585.91,110,3-immature
Bal.bona_NSMT27171,Af6,mysticeti,balaenopteridae,Balaenoptera_s,Antarctic_minke_whale,1.15,166.68,68.76776783,2-late/new
Bal.bona_NSMT27175,Af7,mysticeti,balaenopteridae,Balaenoptera_s,Antarctic_minke_whale,1.82,256.241,81.39160022,2-late/new
Bal.bona_NSMTblue10,Af3,mysticeti,balaenopteridae,Balaenoptera_s,Antarctic_minke_whale,0.74,101.518,59.27638506,2-late/new
Bal.bona_NSMTwhite11,Af4,mysticeti,balaenopteridae,Balaenoptera_s,Antarctic_minke_whale,1.1,131.509,67.70304568,2-late/new
Bal.bona_NSMTwhite15,Af5,mysticeti,balaenopteridae,Balaenoptera_s,Antarctic_minke_whale,1.1,152.494,67.70304568,2-late/new
Bal.bor_1.5.7.12,Sf2,mysticeti,balaenopteridae,Balaenoptera_l,sei_whale,1.194,132,39.90188371,1-early
Bal.bor_1934.5.25.1,Sa1,mysticeti,balaenopteridae,Balaenoptera_l,sei_whale,14,1544.73,120,4-adult
Bal.bor_UMZCC17M,Sf3,mysticeti,balaenopteridae,Balaenoptera_l,sei_whale,0.31,37.44,25,1-early
Bal.mus_1.7.7.14,Bf1,mysticeti,balaenopteridae,Balaenoptera_l,blue_whale,1.93,235,39.32495539,1-early
Bal.mus_1892.3.1.1,Ba1,mysticeti,balaenopteridae,Balaenoptera_l,blue_whale,22,2669.64,120,4-adult
Bal.mus_1997.409,Be6,mysticeti,balaenopteridae,Balaenoptera_l,blue_whale,0.62,72.79,16.60891667,1-early
Bal.mus_1997.424,Be5,mysticeti,balaenopteridae,Balaenoptera_l,blue_whale,0.38,42.559,10.94941667,1-early
Bal.mus_1997.429,Be4,mysticeti,balaenopteridae,Balaenoptera_l,blue_whale,0.26,33.73,7.818666667,1-early
Bal.mus_USNM260581,Be2,mysticeti,balaenopteridae,Balaenoptera_l,blue_whale,0.39,48.4,11.2,1-early
Bal.mus_USNM268885,Be3,mysticeti,balaenopteridae,Balaenoptera_l,blue_whale,0.663,88.555,17.48925,1-early
Bal.phy_1862.2.7.181,Fa1,mysticeti,balaenopteridae,Balaenoptera_l,fin_whale,18,1971.16,120,4-adult
Bal.phy_1997.441,Ff10,mysticeti,balaenopteridae,Balaenoptera_l,fin_whale,0.55,75.064,31.71,1-early
Bal.phy_1997.462,Ff9,mysticeti,balaenopteridae,Balaenoptera_l,fin_whale,0.48,66.3648,28.33125,1-early
Bal.phy_1997.463,Ff8,mysticeti,balaenopteridae,Balaenoptera_l,fin_whale,0.43,56.21,27.55833333,1-early
Bal.phy_USNM260585,Ff6,mysticeti,balaenopteridae,Balaenoptera_l,fin_whale,1.32,165.459,42.38808333,1-early
Bal.phy_USNM267106,Ff2,mysticeti,balaenopteridae,Balaenoptera_l,fin_whale,0.41,53.3,21.57558333,1-early
Bal.phy_USNM268882,Ff3,mysticeti,balaenopteridae,Balaenoptera_l,fin_whale,0.615,74.812,27.55833333,1-early
Bal.phy_USNM268883,Ff5,mysticeti,balaenopteridae,Balaenoptera_l,fin_whale,0.791,104.119,31.71,1-early
Bal.phy_USNM268884,Ff4,mysticeti,balaenopteridae,Balaenoptera_l,fin_whale,0.65,81.025,28.33125,1-early
Bal.phy_USNM269156,Ff7,mysticeti,balaenopteridae,Balaenoptera_l,fin_whale,1.55,185.798,21.57558333,1-early
Bal.phy_ZMCU1143,Ff1,mysticeti,balaenopteridae,Balaenoptera_l,fin_whale,0.85,86.164,34.97247867,1-early
Balaena_1986.1.16,Wa1,mysticeti,balaenidae,Balaena,bowhead_whale,13,1737.04,120,4-adult
Balaena_USNM571928,Wf1,mysticeti,balaenidae,Balaena,bowhead_whale,1.3,177.394,38.50850267,1-early
Caperea_1876.2.16.1,Pj1,mysticeti,neobalaenidae,Caperea,pigmy_right_whale,3,459.96,110,3-immature
Caperea_TMP012998,Pn1,mysticeti,neobalaenidae,Caperea,pigmy_right_whale,1.91,210.366,100,2-late/new
Delphinapterus_1870.6.23.1,Deln1,odontoceti,monodontidae,Delphinapterus,beluga,1.8,205.2,100,2-late/new
Delphinapterus_1932.60,Delj1,odontoceti,monodontidae,Delphinapterus,beluga,2.5,245,110,3-immature
Delphinapterus_1933.10.13.1,Deln2,odontoceti,monodontidae,Delphinapterus,beluga,2.1,210,100,2-late/new
Delphinapterus_1997.554,Delf3,odontoceti,monodontidae,Delphinapterus,beluga,0.33,37.2,22.61314867,1-early
Delphinapterus_1997.555,Delf2,odontoceti,monodontidae,Delphinapterus,beluga,0.26,35.4,17.74262434,1-early
Delphinapterus_1997.556,Delf1,odontoceti,monodontidae,Delphinapterus,beluga,0.18,21.7,12.52420542,1-early
Delphinapterus_USNM22207,Delj2,odontoceti,monodontidae,Delphinapterus,beluga,3.07,245.3,110,3-immature
Delphinapterus_USNM238106,Dela2,odontoceti,monodontidae,Delphinapterus,beluga,3.5,275.8,120,4-adult
Delphinapterus_USNM305071,Dela1,odontoceti,monodontidae,Delphinapterus,beluga,3.5,279.1,120,4-adult
Delphinus.del_1846.4.15.38,Ddej3,odontoceti,delphininae,Delphinus,short-beaked_common_dolphin,1.8,146.588,110,3-immature
Delphinus.del_1856.3.6.5,Ddej2,odontoceti,delphininae,Delphinus,short-beaked_common_dolphin,1.8,144.124,110,3-immature
Delphinus.del_1925.10.1.1,Ddej1,odontoceti,delphininae,Delphinus,short-beaked_common_dolphin,1.3,128.056,110,3-immature
Delphinus.del_1935.32,Ddej4,odontoceti,delphininae,Delphinus,short-beaked_common_dolphin,1.83,165.686,110,3-immature
Delphinus.del_1990.71,Dden2,odontoceti,delphininae,Delphinus,short-beaked_common_dolphin,1.1,108.58,100,2-late/new
Delphinus.del_1997.531,Ddef1,odontoceti,delphininae,Delphinus,short-beaked_common_dolphin,0.29,37.6769,37.58,1-early
Delphinus.del_AMNH35401,Dda1,odontoceti,delphininae,Delphinus,short-beaked_common_dolphin,2.25,180.6,120,4-adult
Delphinus.del_AMNH75332,Dda2,odontoceti,delphininae,Delphinus,short-beaked_common_dolphin,2.4,192.436,120,4-adult
Eschrichtius_SDNHM25307,Gn1,mysticeti,balaenopteridae,Eschrichtius,gray_whale,3.94,393.014,100,2-late/new
Eschrichtius_USNM13803,Ga1,mysticeti,balaenopteridae,Eschrichtius,gray_whale,11,991.825,120,4-adult
Globicephala.mac_1853.9.18.26,Gloj1,odontoceti,globicephalinae,Globicephala,short-finned_pilot_whale,2.5,230.596,110,3-immature
Globicephala.mac_1912.10.27.1,Gloa1,odontoceti,globicephalinae,Globicephala,short-finned_pilot_whale,4.2,474.421,120,4-adult
Globicephala.mel_1855.12.24.427,Glof2,odontoceti,globicephalinae,Globicephala,long-finned_pilot_whale,0.35,49.55,19.4183611,1-early
Globicephala.mel_1868.1.30.2,Gloj2,odontoceti,globicephalinae,Globicephala,long-finned_pilot_whale,2.72,279.168,110,3-immature
Globicephala.mel_1939.2.18.2,Glon1,odontoceti,globicephalinae,Globicephala,long-finned_pilot_whale,1.92,160.22,100,2-late/new
Globicephala.mel_1954.3.25.1,Glon2,odontoceti,globicephalinae,Globicephala,long-finned_pilot_whale,2.2,150.218,100,2-late/new
Globicephala.mel_2021.3,Glof3,odontoceti,globicephalinae,Globicephala,long-finned_pilot_whale,1,102.04,60,2-late/new
Globicephala.mel_MM1946,Gloa2,odontoceti,globicephalinae,Globicephala,long-finned_pilot_whale,3.5,398,120,4-adult
Globicephala.mel_USNM012754,Glof1,odontoceti,globicephalinae,Globicephala,long-finned_pilot_whale,0.224,28.86,12.42775111,1-early
Globicephala.mel_USNM241129,Gloe1,odontoceti,globicephalinae,Globicephala,long-finned_pilot_whale,0.132,20.31,7.323496188,1-early
Grampus_1891.2.5.4,Gran2,odontoceti,globicephalinae,Grampus,Risso_dolphin,1.79,161.958,100,2-late/new
Grampus_1891.2.5.5,Gran3,odontoceti,globicephalinae,Grampus,Risso_dolphin,1.83,177.383,100,2-late/new
Grampus_1913.68,Gran1,odontoceti,globicephalinae,Grampus,Risso_dolphin,1.52,160.295,100,2-late/new
Grampus_1947.10,Graj1,odontoceti,globicephalinae,Grampus,Risso_dolphin,2.44,262.029,110,3-immature
Grampus_2003.368,Graj2,odontoceti,globicephalinae,Grampus,Risso_dolphin,1.87,215.37,110,3-immature
Grampus_USNM500271,Graa1,odontoceti,globicephalinae,Grampus,Risso_dolphin,2.57,312,120,4-adult
Grampus_USNM571602,Graa2,odontoceti,globicephalinae,Grampus,Risso_dolphin,2.73,325.24,120,4-adult
Hyperoodon.amp_1938.40,Hypn1,odontoceti,ziphiidae,Hyperoodon,northern_bottlenose_whale ,3.78,338.971,100,2-late/new
Hyperoodon.amp_1992.42,Hypa1,odontoceti,ziphiidae,Hyperoodon,northern_bottlenose_whale ,8,843.116,120,4-adult
Kogia.bre_1866.2.5.6,Kogj1,odontoceti,physeteroidea,Kogia,dwarf_sperm_whale,1.83,221.68,110,3-immature
Kogia.bre_1952.8.28.2,Kogj2,odontoceti,physeteroidea,Kogia,pygmy_sperm_whale,1.71,209.673,110,3-immature
Kogia.bre_1997.571,Koge1,odontoceti,physeteroidea,Kogia,pygmy_sperm_whale,0.165,19.459,15,1-early
